,author,books
0, Rawles,[22128]
1,A. Bartlett Giamatti,[31253]
2,A. Dale,[1498]
3,A. Elizabeth Delany,[17118]
4,A. Merritt,[23596]
5,A. Roger Merrill,"[36071, 44675]"
6,A. Walton Litz,[23292]
7,A.B. Yehoshua,"[27503, 30855]"
8,A.D. Godley,[16678]
9,A.D.P. Briggs,[17883]
10,A.E. Cunningham,[40880]
11,A.E. van Vogt,"[40888, 41119]"
12,A.G. Pasquella,[43438]
13,A.H. Armstrong,[26253]
14,A.J. Arberry,[39763]
15,A.J. Jacobs,[28116]
16,A.J. McAllister,[302]
17,A.J.P. Taylor,[30485]
18,A.M. Burrage,[23792]
19,A.M. Dellamonica,[38717]
20,A.M. Homes,"[29412, 29414]"
21,A.N. Roquelaure,"[3683, 18750, 25190, 26581, 26583]"
22,A.N. Wilson,"[4903, 18243, 33464]"
23,A.R. Braunmuller,"[1417, 1433, 14350, 47022]"
24,A.R. Morlan,[47580]
25,A.S. Byatt,"[11230, 11333, 11718, 11723, 20564, 22914, 31173, 31694, 41219]"
26,A.T. Hatto,[18261]
27,A.V. Miller,[9454]
28,A.W. Wheen,[42918]
29,Aaron Allston,"[5405, 35449]"
30,Aaron Anderson,[40622]
31,Aaron Asher,[44559]
32,Aaron Leichter,[17689]
33,Aaron Medwin,[24188]
34,Aaron Rosenberg,"[36775, 36781]"
35,Aaron Shepard,[30575]
36,Aaron T. Beck,[43866]
37,Abaire,"[38700, 41103]"
38,Abbie Hoffman,[30743]
39,Abby Wilner,[25576]
40,Abdelrahman Munif,[2722]
41,Abdul,[26697]
42,Abdul Rahman Munif,[2722]
43,Abigail Adams,[2205]
44,Abigail Beckel,[46610]
45,Abigail Thomas,[31050]
46,Abolqasem Ferdowsi,[25869]
47,Abraham Lincoln,"[397, 20547, 20549, 20552]"
48,Abraham Moore,[13337]
49,Adam,"[38717, 47530]"
50,Adam  Sexton,[23297]
51,Adam Drozdek,"[27844, 27861]"
52,Adam Gauntlett,[33491]
53,Adam Ginsberg,[132]
54,Adam Golaski,[43437]
55,Adam Gopnik,"[7062, 7113]"
56,Adam Hargreaves,"[8013, 8016, 8019, 8020, 8032]"
57,Adam Haslett,[14267]
58,Adam Hochschild,"[27457, 27668, 27669]"
59,Adam Lesh,[29173]
60,Adam Long,[1423]
61,Adam Mansbach,[31441]
62,Adam Mars,[33464]
63,Adam McCauley,[15779]
64,Adam Phillips,[30529]
65,Adam Rex,[18486]
66,Adam Roberts,"[32828, 38717]"
67,Adam Smith,"[25698, 25701]"
68,Adam Swift,"[34155, 34156, 34157]"
69,Adam Woog,[14591]
70,Adela Pinch,[14926]
71,Adi Granov,[43739]
72,Adolfo Bioy Casares,[17947]
73,Adolfo Pérez Perdomo,[33046]
74,Adrian    Reynolds,[19041]
75,Adrian Alphona,"[7389, 43612]"
76,Adrian Esteban,[34662]
77,Adrian Geoffrey Gilbert,[21242]
78,Adrian Guelke,[29927]
79,Adrian Lester,[13008]
80,Adrian McKinty,"[21282, 21283, 21284]"
